therapy_code,therapy_title,therapy_concept_id,component_code,component_title,component_concept_id
tucatinib_trastuzumab_capecitabine,Tucatinib + Trastuzumab + Capecitabine,,tucatinib,Tucatinib,911976
u2,Umbralisib + Ublituximab (U2),,ublituximab,Ublituximab,35803369
umbralisib_monotherapy,Umbralisib (Ukoniq) Monotherapy,,umbralisib,Umbralisib,912199
valacyclovir,Valacyclovir,,valacyclovir,Valacyclovir,35803374
venetoclax,Venetoclax Monotherapy (Venclexta),,venetoclax,Venetoclax,35803383
venetoclax_ibrutinib,Venetoclax + Ibrutinib,,ibrutinib,Ibrutinib,35803113
venetoclax_ibrutinib,Venetoclax + Ibrutinib,,venetoclax,Venetoclax,35803383
venetoclax_obinutuzumab,Venetoclax + Obinutuzumab,,obinutuzumab,Obinutuzumab,35803211
venetoclax_obinutuzumab,Venetoclax + Obinutuzumab,,venetoclax,Venetoclax,35803383
venetoclax_rituximab,Venetoclax + Rituximab,,rituximab,Rituximab,35803296
venetoclax_rituximab,Venetoclax + Rituximab,,venetoclax,Venetoclax,35803383
vinorelbine,Vinorelbine,,vinorelbine,Vinorelbine,35803389
vmp,VMP,35806258,bortezomib_(velcade),Bortezomib (Velcade),
vmp,VMP,35806258,melphalan,Melphalan,35803175
vmp,VMP,35806258,prednisone,Prednisone,35803268
vmp,VMP,35806258,vmp_triplet,VMP triplet,
voltaren,Voltaren,,diclofenac_sodium,Diclofenac Sodium,
voriconazole,Voriconazole (Vfend) - antifungal,,voriconazole,Voriconazole,35803393
vr_cap,VR-CAP,35806082,bortezomib_(velcade),Bortezomib (Velcade),
vr_cap,VR-CAP,35806082,cyclophosphamide,Cyclophosphamide,35802975
vr_cap,VR-CAP,35806082,doxorubicin,Doxorubicin,35803022
vr_cap,VR-CAP,35806082,prednisone,Prednisone,35803268
vr_cap,VR-CAP,35806082,rituximab,Rituximab,35803296
vrd,VRd,,bortezomib_(velcade),Bortezomib (Velcade),
vrd,VRd,,dexamethasone,Dexamethasone,35803008
vrd,VRd,,lenalidomide,Lenalidomide (Revlimid),
vrd,VRd,,vrd_triplet,VRd triplet,
vrd_lite,VRd-lite,,bortezomib_(velcade),Bortezomib (Velcade),
vrd_lite,VRd-lite,,dexamethasone,Dexamethasone,35803008
