therapy_code,disease,round
fluvoxamine,C3209,supportive_therapy
fluvoxamine,MCL,supportive_therapy
fluvoxamine,C3242,supportive_therapy
paroxetine,C9335,supportive_therapy
paroxetine,C3209,supportive_therapy
paroxetine,MCL,supportive_therapy
paroxetine,C3242,supportive_therapy
fluoxetine,C9335,supportive_therapy
fluoxetine,C3209,supportive_therapy
fluoxetine,MCL,supportive_therapy
fluoxetine,C3242,supportive_therapy
posaconazole,C9335,supportive_therapy
posaconazole,C2987,supportive_therapy
posaconazole,C3209,supportive_therapy
posaconazole,MCL,supportive_therapy
posaconazole,C3242,supportive_therapy
voriconazole,C9335,supportive_therapy
voriconazole,C2987,supportive_therapy
voriconazole,C3209,supportive_therapy
voriconazole,MCL,supportive_therapy
voriconazole,C3242,supportive_therapy
fluconazole,C9335,supportive_therapy
fluconazole,C2987,supportive_therapy
fluconazole,C3209,supportive_therapy
fluconazole,MCL,supportive_therapy
fluconazole,C3242,supportive_therapy
ketoconazole,C9335,supportive_therapy
ketoconazole,C2987,supportive_therapy
ketoconazole,C3209,supportive_therapy
ketoconazole,MCL,supportive_therapy
ketoconazole,C3242,supportive_therapy
itraconazole,C9335,supportive_therapy
itraconazole,C2987,supportive_therapy
itraconazole,C3209,supportive_therapy
itraconazole,MCL,supportive_therapy
itraconazole,C3242,supportive_therapy
rifabutin,C9335,supportive_therapy
rifabutin,C2987,supportive_therapy
rifabutin,C3209,supportive_therapy
rifabutin,MCL,supportive_therapy
rifabutin,C3242,supportive_therapy
rifampin,C9335,supportive_therapy
rifampin,C2987,supportive_therapy
rifampin,C3209,supportive_therapy
rifampin,MCL,supportive_therapy
rifampin,C3242,supportive_therapy
ciprofloxacin,C9335,supportive_therapy
ciprofloxacin,C2987,supportive_therapy
ciprofloxacin,C3209,supportive_therapy
ciprofloxacin,MCL,supportive_therapy
ciprofloxacin,C3242,supportive_therapy
erythromycin,C9335,supportive_therapy
erythromycin,C2987,supportive_therapy
erythromycin,C3209,supportive_therapy
erythromycin,MCL,supportive_therapy
erythromycin,C3242,supportive_therapy
clarithromycin,C9335,supportive_therapy
clarithromycin,C2987,supportive_therapy
clarithromycin,C3209,supportive_therapy
clarithromycin,MCL,supportive_therapy
clarithromycin,C3242,supportive_therapy
local_palliative_radiotherapy,C9335,supportive_therapy
local_palliative_radiotherapy,C2987,supportive_therapy
local_palliative_radiotherapy,C3209,supportive_therapy
local_palliative_radiotherapy,MCL,supportive_therapy
local_palliative_radiotherapy,C3242,supportive_therapy
herbal_supplements,C9335,supportive_therapy
herbal_supplements,C3209,supportive_therapy
herbal_supplements,MCL,supportive_therapy
herbal_supplements,C3242,supportive_therapy
hiv_antiretroviral_therapy,C9335,supportive_therapy
hiv_antiretroviral_therapy,C2987,supportive_therapy
hiv_antiretroviral_therapy,C3209,supportive_therapy
hiv_antiretroviral_therapy,MCL,supportive_therapy
hiv_antiretroviral_therapy,C3242,supportive_therapy
chronic_opioid_therapy,C9335,supportive_therapy
chronic_opioid_therapy,C2987,supportive_therapy
chronic_opioid_therapy,C3209,supportive_therapy
chronic_opioid_therapy,MCL,supportive_therapy
chronic_opioid_therapy,C3242,supportive_therapy
aspirin_gt_81mg_daily,C9335,supportive_therapy
aspirin_gt_81mg_daily,C2987,supportive_therapy
aspirin_gt_81mg_daily,C3209,supportive_therapy
aspirin_gt_81mg_daily,MCL,supportive_therapy
aspirin_gt_81mg_daily,C3242,supportive_therapy
aspirin_lt_81mg_daily,C9335,supportive_therapy
aspirin_lt_81mg_daily,C2987,supportive_therapy
aspirin_lt_81mg_daily,C3209,supportive_therapy
aspirin_lt_81mg_daily,MCL,supportive_therapy
aspirin_lt_81mg_daily,C3242,supportive_therapy
heparin_anticoagulant,C9335,supportive_therapy
heparin_anticoagulant,C2987,supportive_therapy
heparin_anticoagulant,C3209,supportive_therapy
heparin_anticoagulant,MCL,supportive_therapy
heparin_anticoagulant,C3242,supportive_therapy
warfarin_anticoagulant,C9335,supportive_therapy
warfarin_anticoagulant,C2987,supportive_therapy
warfarin_anticoagulant,C3209,supportive_therapy
warfarin_anticoagulant,MCL,supportive_therapy
warfarin_anticoagulant,C3242,supportive_therapy
antiviral,C9335,supportive_therapy
antiviral,C2987,supportive_therapy
antiviral,C3209,supportive_therapy
antiviral,MCL,supportive_therapy
antiviral,C3242,supportive_therapy
immunosuppressant,C9335,supportive_therapy
immunosuppressant,C2987,supportive_therapy
immunosuppressant,C3209,supportive_therapy
immunosuppressant,MCL,supportive_therapy
immunosuppressant,C3242,supportive_therapy
intranasal_corticosteroids,C9335,supportive_therapy
intranasal_corticosteroids,C2987,supportive_therapy
intranasal_corticosteroids,C3209,supportive_therapy
intranasal_corticosteroids,MCL,supportive_therapy
intranasal_corticosteroids,C3242,supportive_therapy
topical_corticosteroids,C9335,supportive_therapy
topical_corticosteroids,C2987,supportive_therapy
topical_corticosteroids,C3209,supportive_therapy
topical_corticosteroids,MCL,supportive_therapy
topical_corticosteroids,C3242,supportive_therapy
inhaled_corticosteroids,C9335,supportive_therapy
inhaled_corticosteroids,C2987,supportive_therapy
inhaled_corticosteroids,C3209,supportive_therapy
inhaled_corticosteroids,MCL,supportive_therapy
inhaled_corticosteroids,C3242,supportive_therapy
mineralocorticoids,C9335,supportive_therapy
mineralocorticoids,C2987,supportive_therapy
mineralocorticoids,C3209,supportive_therapy
mineralocorticoids,C3242,supportive_therapy
systemic_corticosteroids_gt_20_mg_day,C9335,supportive_therapy
systemic_corticosteroids_gt_20_mg_day,C2987,supportive_therapy
systemic_corticosteroids_gt_20_mg_day,C3209,supportive_therapy
systemic_corticosteroids_gt_20_mg_day,MCL,supportive_therapy
systemic_corticosteroids_gt_20_mg_day,C3242,supportive_therapy
systemic_corticosteroids_gt_10_mg_day,C9335,supportive_therapy
systemic_corticosteroids_gt_10_mg_day,C2987,supportive_therapy
systemic_corticosteroids_gt_10_mg_day,C3209,supportive_therapy
systemic_corticosteroids_gt_10_mg_day,MCL,supportive_therapy
systemic_corticosteroids_gt_10_mg_day,C3242,supportive_therapy
systemic_corticosteroids_gt_5_mg_day,C9335,supportive_therapy
systemic_corticosteroids_gt_5_mg_day,C2987,supportive_therapy
systemic_corticosteroids_gt_5_mg_day,C3209,supportive_therapy
systemic_corticosteroids_gt_5_mg_day,MCL,supportive_therapy
systemic_corticosteroids_gt_5_mg_day,C3242,supportive_therapy
systemic_corticosteroids_lt_5_mg_day,C9335,supportive_therapy
systemic_corticosteroids_lt_5_mg_day,C2987,supportive_therapy
systemic_corticosteroids_lt_5_mg_day,C3209,supportive_therapy
systemic_corticosteroids_lt_5_mg_day,MCL,supportive_therapy
systemic_corticosteroids_lt_5_mg_day,C3242,supportive_therapy
adjuvant_radiotherapy,C9335,supportive_therapy
adjuvant_radiotherapy,MCL,supportive_therapy
axillary_lnd_mastectomy_radiation,C9335,first_line_therapy
axillary_lnd_mastectomy_radiation,C9335,later_line_therapy
axillary_lnd_mastectomy_radiation,C9335,second_line_therapy
axillary_lnd_mastectomy,C9335,first_line_therapy
axillary_lnd_mastectomy,C9335,later_line_therapy
axillary_lnd_mastectomy,C9335,second_line_therapy
axillary_lnd_lumpectomy_radiation,C9335,first_line_therapy
axillary_lnd_lumpectomy_radiation,C9335,second_line_therapy
axillary_lnd_radiation,C9335,later_line_therapy
axillary_lnd_radiation,C9335,second_round_therapy
mastectomy_radiation,C9335,later_line_therapy
mastectomy_radiation,C9335,second_line_therapy
mastectomy_radiation,C9335,first_line_therapy
lumpectomy_radiation,C9335,second_line_therapy
lumpectomy_radiation,C9335,first_line_therapy
pan_bor_dex,C3242,later_line_therapy
talquetamab,C3242,later_line_therapy
rd,C3242,first_line_therapy
u2,C3209,later_line_therapy
u2,C3209,second_line_therapy
umbralisib_monotherapy,C3209,later_line_therapy
mpt,C3242,first_line_therapy
elranatamab_elrexfio,C3242,later_line_therapy
liposomal_doxorubicin,C9335,later_line_therapy
liposomal_doxorubicin,C3242,later_line_therapy
mp,C3242,first_line_therapy
vmp,C3242,first_line_therapy
dara_vmp,C3242,first_line_therapy
chop,C3209,first_line_therapy
lisocabtagene_maraleucel_(breyanzi),C2987,later_line_therapy
lisocabtagene_maraleucel_(breyanzi),C3209,later_line_therapy
lisocabtagene_maraleucel_(breyanzi),C3209,second_line_therapy
lisocabtagene_maraleucel_(breyanzi),MCL,later_line_therapy
lisocabtagene_maraleucel_(breyanzi),MCL,second_line_therapy
glofitamab,C3209,later_line_therapy
exemestane,C9335,first_line_therapy
exemestane,C9335,later_line_therapy
exemestane,C9335,second_line_therapy
anastrozole,C9335,first_line_therapy
anastrozole,C9335,later_line_therapy
anastrozole,C9335,second_line_therapy
letrozole,C9335,first_line_therapy
letrozole,C9335,later_line_therapy
letrozole,C9335,second_line_therapy
mosunetuzumab,C3209,later_line_therapy
blinatumomab,C3209,later_line_therapy
entrectinib,C9335,first_line_therapy
entrectinib,C9335,later_line_therapy
entrectinib,C9335,second_line_therapy
larotrectinib,C9335,first_line_therapy
larotrectinib,C9335,later_line_therapy
larotrectinib,C9335,second_line_therapy
capivasertib,C9335,later_line_therapy
capivasertib,C9335,second_line_therapy
alpelisib_monotherapy,C9335,later_line_therapy
cisplatin,C9335,later_line_therapy
carboplatin,C9335,first_line_therapy
carboplatin,C9335,later_line_therapy
carboplatin,C9335,second_line_therapy
talazoparib,C9335,first_line_therapy
talazoparib,C9335,later_line_therapy
olaparib,C9335,first_line_therapy
olaparib,C9335,second_line_therapy
olaparib,C9335,later_line_therapy
pembrolizumab_chemotherapy,C9335,first_line_therapy
pembrolizumab_chemotherapy,C9335,second_line_therapy
pembrolizumab_chemotherapy,C9335,later_line_therapy
atezolizumab_nab_paclitaxel,C9335,later_line_therapy
trastuzumab_emtansine__(t_dm1_kadcyla),C9335,later_line_therapy
margetuximab,C9335,later_line_therapy
neratinib_(nerlynx),C9335,later_line_therapy
lapatinib_(tykerb),C9335,later_line_therapy
tucatinib_trastuzumab_capecitabine,C9335,later_line_therapy
trastuzumab_deruxtecan_(t_dxd_enhertu),C9335,later_line_therapy
docetaxel,C9335,first_line_therapy
